student_id,live_classes_attended,recorded_views,total_classes
142,16,39,60
143,5,18,40
144,16,27,50
145,10,12,50
146,10,13,60
147,32,16,60
148,7,34,40
149,19,12,60
150,25,16,40
151,18,20,40
152,32,24,60
153,10,11,40
154,17,22,60
155,28,21,50
156,15,22,50
157,31,23,40
158,24,51,60
159,7,33,40
160,33,7,40
161,13,33,40
162,21,38,40
163,16,5,50
164,31,22,60
165,18,22,60
166,10,18,50
167,25,18,60
168,23,18,50
169,8,48,50
170,25,16,50
171,34,6,60
172,12,18,60
173,18,49,50
174,20,5,50
175,11,36,50
176,23,40,40
177,33,12,40
178,23,7,60
179,11,20,40
180,19,7,50
181,30,8,60
182,20,28,40
183,28,25,40
184,13,30,50
185,25,12,40
186,11,15,50
187,35,12,60
188,34,24,40
189,19,21,60
190,19,52,60
191,12,6,40
192,22,15,40
193,7,23,60
194,35,19,40
195,14,34,40
196,18,19,60
197,31,6,40
198,6,33,60
199,22,8,50
200,18,29,60
201,24,15,60
202,22,19,50
203,29,24,50
204,20,25,40
205,35,5,60
206,21,36,50
207,16,8,60
208,10,24,40
209,12,23,60
210,23,19,40
211,21,31,60
212,23,20,50
213,29,19,60
214,17,9,40
215,11,9,40
216,23,42,50
217,30,16,60
218,28,22,50
219,14,20,40
220,24,36,50
221,16,15,50
222,23,57,60
223,14,6,60
224,21,32,40
225,18,26,40
226,16,25,40
227,7,25,40
228,20,37,40
229,19,53,60
230,15,52,60
231,20,24,60
232,23,15,50
233,13,19,40
234,25,12,40
235,30,12,40
236,17,19,60
237,11,30,60
238,15,39,50
239,22,10,40
240,16,15,40
241,16,15,40
242,13,9,60
243,24,11,50
244,23,38,60
245,5,21,40
246,14,20,40
247,18,10,40
248,22,30,50
249,16,5,40
250,18,8,40
251,31,9,40
252,25,22,50
253,11,34,50
254,17,16,50
255,31,10,50
256,24,42,60
257,12,8,60
258,9,40,40
259,11,32,40
260,32,16,50
261,24,42,50
262,17,6,60
263,28,11,60
264,19,9,60
265,17,6,50
266,35,13,60
267,21,33,40
268,16,7,50
269,35,24,50
270,10,31,40
271,25,47,50
272,20,48,50
273,15,15,50
274,21,21,60
275,25,20,60
276,18,23,50
277,30,23,50
278,11,11,60
279,16,19,40
280,22,11,40
281,23,17,50
282,15,16,60
283,27,7,50
284,34,7,40
285,24,21,50
286,17,23,50
287,24,21,40
288,20,18,60
289,24,18,50
290,21,20,50
291,13,39,50
292,10,29,40
293,18,25,40
294,21,7,40
295,26,21,50
296,25,20,60
297,12,21,50
298,7,26,40
299,22,21,40
300,16,15,50
301,14,32,50
302,32,24,40
303,34,22,40
304,10,14,50
305,21,17,50
306,28,25,50
307,20,35,40
308,34,9,60
309,17,12,50
310,11,45,60
311,21,33,40
312,19,44,60
313,7,35,50
314,23,18,40
315,24,19,40
316,5,38,60
317,28,9,40
318,33,5,50
319,16,36,50
320,23,18,40
321,34,17,60
322,27,14,60
323,28,5,50
324,35,6,60
325,9,25,40
326,30,24,60
327,28,17,60
328,11,40,50
329,27,17,40
330,25,8,40
331,23,43,50
332,19,7,60
333,8,36,40
334,15,6,60
335,24,46,60
336,15,11,40
337,17,24,40
338,12,24,40
339,21,19,60
340,11,16,50
341,10,10,60
342,23,17,50
343,13,9,40
344,23,20,60
345,7,39,60
346,14,11,40
347,18,45,50
348,29,23,40
349,28,11,50
350,32,19,60
351,11,15,50
352,24,7,40
353,24,30,50
354,15,51,60
355,19,44,50
356,11,7,60
357,30,19,50
358,14,40,50
359,10,41,60
360,15,24,40
361,23,19,60
362,10,21,50
363,6,30,50
364,18,25,40
365,19,7,60
366,33,11,60
367,23,22,50
368,16,17,40
369,21,39,40
370,18,43,50
371,13,21,40
372,11,19,60
373,12,25,40
374,31,19,60
375,15,40,50
376,22,6,40
377,18,8,40
378,9,35,60
379,33,19,60
380,19,19,50
381,22,36,40
382,32,19,40
383,25,13,40
384,10,15,40
385,8,26,60
386,13,22,50
387,22,10,60
388,31,5,40
389,13,24,60
390,16,26,50
391,6,36,40
392,11,43,60
393,6,55,60
394,25,57,60
395,31,8,60
396,14,43,50
397,29,5,40
398,17,39,40
399,17,16,40
400,11,17,40
401,23,5,40
402,15,21,40
403,31,7,60
404,13,10,40
405,15,6,60
406,21,21,50
407,20,22,50
408,16,24,60
409,22,27,40
410,13,12,50
411,13,16,40
412,15,5,50
413,30,15,50
414,22,11,40
415,17,7,50
416,18,25,60
417,21,6,60
418,16,18,40
419,34,24,50
420,13,22,50
421,10,31,60
422,24,25,40
423,17,58,60
424,9,36,60
425,25,39,40
426,20,20,60
427,15,15,40
428,28,19,60
429,26,25,50
430,12,47,60
431,5,29,60
432,29,8,40
433,17,18,50
434,29,7,40
435,14,16,40
436,19,11,50
437,22,11,40
438,11,12,60
439,29,19,60
440,20,9,60
441,15,17,50
442,35,18,60
443,19,5,60
444,33,15,40
445,12,28,50
446,6,57,60
447,12,34,40
448,21,35,50
449,19,35,40
450,12,20,40
451,11,16,40
452,9,28,60
453,7,20,40
454,27,11,60
455,21,17,40
456,19,34,50
457,33,11,40
458,23,10,40
459,12,34,60
460,23,43,50
461,11,32,60
462,12,16,50
463,17,25,50
464,24,18,50
465,24,42,60
466,35,20,40
467,17,28,40
468,14,34,40
469,14,22,60
470,10,31,60
471,19,34,50
472,19,17,50
473,29,20,60
474,15,19,40
475,25,11,60
476,16,5,40
477,26,16,40
478,22,18,50
479,33,16,50
480,20,34,50
481,28,7,60
482,6,22,50
483,23,25,50
484,34,18,40
485,16,47,50
486,25,25,60
487,21,6,60
488,22,18,60
489,12,30,60
490,6,38,50
491,32,5,60
492,31,25,60
493,13,34,40
494,9,31,50
495,29,23,40
496,10,15,60
497,34,7,40
498,32,17,60
499,32,23,50
500,21,21,40
501,10,42,50
502,14,47,50
503,31,17,60
504,19,18,60
505,12,8,60
506,28,16,60
507,13,38,40
508,33,17,40
509,19,5,60
510,25,5,40
511,7,39,40
512,23,21,60
513,30,14,50
514,23,10,60
515,16,20,40
516,14,11,60
517,10,47,50
518,24,23,40
519,15,11,40
520,33,10,40
521,18,18,40
522,30,24,50
523,25,20,40
524,14,17,40
525,13,13,50
526,20,5,40
527,12,45,60
528,8,15,50
529,18,5,40
530,28,6,60
531,16,21,40
532,17,34,40
533,34,13,60
534,25,15,50
535,23,15,60
536,31,15,50
537,12,38,50
538,22,17,60
539,6,37,60
540,8,15,50
541,32,17,50
542,14,5,60
543,13,21,60
544,32,12,50
545,19,45,50
546,23,11,60
547,25,25,40
548,30,16,40
549,15,36,40
550,17,24,50
551,17,20,50
552,23,20,50
553,32,8,60
554,22,14,60
555,16,9,60
556,28,21,60
557,14,20,40
558,19,22,40
559,15,19,50
560,20,36,40
561,12,30,60
562,10,39,40
563,7,21,60
564,32,5,50
565,15,27,40
566,12,31,50
567,20,57,60
568,31,9,40
569,30,20,60
570,15,22,40
571,34,24,60
572,25,25,40
573,32,17,50
574,30,22,60
575,12,29,50
576,13,14,50
577,13,7,40
578,33,23,50
579,33,8,40
580,16,23,60
581,17,15,50
582,6,49,50
583,17,28,40
584,16,23,50
585,31,24,60
586,12,21,60
587,10,22,50
588,20,9,50
589,17,20,50
590,24,9,60
591,19,9,60
592,31,6,60
593,20,14,60
594,32,8,60
595,32,23,50
596,25,28,50
597,19,17,50
598,35,15,40
599,11,38,40
600,6,39,40
601,25,17,40
602,31,10,50
603,22,27,40
604,23,20,50
605,34,17,50
606,12,21,50
607,19,14,60
608,16,22,60
609,13,9,50
610,23,18,50
611,19,19,60
612,15,23,60
613,24,20,40
614,14,11,50
615,11,38,40
616,10,16,60
617,23,21,60
618,9,39,60
619,10,18,50
620,16,30,40
621,11,8,40
622,25,36,60
623,18,24,60
624,33,17,60
625,6,18,40
626,17,30,40
627,24,26,50
628,17,59,60
629,7,44,60
630,17,32,60
631,30,19,60
632,5,22,50
633,7,18,40
634,30,21,50
635,10,23,40
636,28,20,60
637,32,8,50
638,10,39,60
639,30,18,50
640,23,23,50
641,15,17,40
642,35,22,60
643,22,5,40
644,27,22,50
645,25,7,60
646,23,49,60
647,35,25,60
648,34,11,40
649,13,10,60
650,32,10,60
651,27,19,40
652,8,17,50
653,28,11,40
654,10,20,60
655,13,17,60
656,13,21,40
657,16,49,50
658,23,5,40
659,14,16,40
660,35,14,60
661,22,43,60
662,23,30,40
663,15,48,60
664,29,22,50
665,11,59,60
666,31,6,40
667,6,21,40
668,14,21,40
669,24,32,40
670,28,16,40
671,14,24,50
672,12,22,50
673,13,39,50
674,15,17,60
675,12,13,50
676,18,59,60
677,27,11,40
678,30,13,40
679,25,27,60
680,16,51,60
681,25,47,60
682,15,18,60
683,15,40,40
684,17,16,50
685,12,19,60
686,8,49,50
687,22,28,40
688,20,25,40
689,16,25,40
690,14,12,50
691,5,21,50
692,17,17,50
693,35,8,40
694,21,38,40
695,28,20,50
696,26,16,40
697,28,14,60
698,18,24,60
699,11,10,40
700,34,17,50
701,21,22,40
702,29,17,60
703,28,9,50
704,10,21,50
705,14,9,60
706,22,23,40
707,13,18,60
708,30,16,60
709,12,58,60
710,23,19,60
711,19,26,40
712,21,33,50
713,23,21,50
714,12,34,60
715,12,14,60
716,34,15,50
717,25,17,40
718,12,17,40
719,28,6,40
720,14,32,40
721,35,5,50
722,31,21,50
723,9,45,60
724,21,49,50
725,13,17,60
726,29,11,40
727,5,60,60
728,22,37,50
729,33,21,40
730,29,6,60
731,19,25,60
732,34,21,60
733,15,7,40
734,14,21,50
735,11,18,50
736,22,10,50
737,13,15,50
738,17,22,60
739,19,14,40
740,19,13,50
741,10,25,40
742,17,28,60
743,25,47,50
744,24,24,40
745,6,37,50
746,29,19,40
747,14,37,50
748,10,16,40
749,10,40,60
750,10,8,50
751,25,11,50
752,21,31,40
753,23,8,40
754,5,24,50
755,13,29,60
756,17,38,50
757,16,42,50
758,27,13,40
759,19,36,40
760,15,9,50
761,18,15,50
762,32,11,50
763,11,24,40
764,14,17,40
765,33,15,50
766,15,11,40
767,13,22,50
768,25,22,50
769,9,35,50
770,21,39,50
771,13,8,40
772,14,9,40
773,26,5,50
774,17,6,60
775,15,42,60
776,5,42,60
777,14,33,50
778,12,18,50
779,29,9,40
780,21,26,60
781,18,8,40
782,32,12,50
783,23,11,60
784,32,8,50
785,33,21,60
786,15,11,60
787,25,55,60
788,12,18,40
789,17,16,40
790,16,9,50
791,10,24,50
792,12,6,40
793,18,48,50
794,32,25,50
795,17,15,40
796,25,6,50
797,23,25,60
798,19,8,40
799,16,32,50
800,18,30,50
801,6,26,50
802,10,6,40
803,15,28,60
804,25,13,50
805,13,18,60
806,13,30,40
807,20,14,50
808,8,36,40
809,22,39,40
810,20,16,40
811,16,52,60
812,29,16,60
813,30,13,40
814,28,17,40
815,13,9,40
816,24,22,60
817,28,25,40
818,11,37,40
819,8,19,50
820,24,36,60
821,20,27,50
822,33,9,60
823,9,21,40
824,27,13,50
825,21,16,60
826,30,8,50
827,12,20,50
828,21,47,50
829,15,24,40
830,32,9,50
831,6,18,50
832,16,17,60
833,31,22,50
834,7,25,60
835,21,39,50
836,17,40,60
837,18,11,60
838,10,10,40
839,16,23,60
840,10,21,60
841,26,21,50
842,19,12,50
843,32,13,50
844,13,10,60
845,11,22,40
846,19,6,40
847,14,13,60
848,18,6,40
849,12,28,60
850,8,15,60
851,21,25,60
852,16,35,60
853,32,22,40
854,9,41,50
855,14,35,60
856,25,15,40
857,12,32,50
858,13,15,40
859,31,23,60
860,33,17,40
861,18,25,60
862,29,22,60
863,24,12,40
864,18,11,50
865,30,17,60
866,24,12,40
867,18,38,60
868,20,17,40
869,10,44,50
870,10,21,40
871,25,10,60
872,14,16,60
873,15,10,50
874,31,24,50
875,12,9,40
876,23,12,40
877,25,40,50
878,33,21,40
879,5,34,40
880,22,17,40
881,13,5,40
882,11,9,60
883,34,7,40
884,14,25,50
885,5,15,60
886,22,38,40
887,32,7,50
888,14,20,40
889,24,10,60
890,15,45,50
891,17,6,40
892,32,13,60
893,27,8,60
894,11,8,40
895,19,8,60
896,18,24,60
897,17,5,40
898,18,27,40
899,16,35,40
900,17,17,50
901,32,8,60
902,15,8,50
903,13,14,40
904,12,24,50
905,8,38,50
906,11,24,40
907,10,28,40
908,20,24,60
909,18,19,40
910,31,14,60
911,19,16,60
912,13,30,40
913,16,31,60
914,7,15,60
915,25,19,40
916,9,39,50
917,33,20,50
918,13,23,40
919,33,13,50
920,12,15,40
921,15,17,40
922,20,20,50
923,25,18,50
924,35,25,60
925,14,25,50
926,17,28,40
927,25,22,60
928,25,22,60
929,12,39,60
930,28,18,40
931,23,59,60
932,12,59,60
933,12,26,40
934,16,5,40
935,27,20,50
936,13,6,40
937,16,23,50
938,24,9,50
939,23,12,60
940,12,16,40
941,14,8,60
942,9,39,60
943,5,59,60
944,21,6,50
945,13,23,60
946,20,34,40
947,5,19,40
948,9,20,50
949,7,15,40
950,18,24,60
951,20,38,40
952,33,21,40
953,19,20,60
954,33,15,50
955,35,25,50
956,5,33,60
957,9,16,40
958,11,24,60
959,21,20,40
960,17,28,40
961,19,50,60
962,18,23,60
963,19,12,60
964,15,13,50
965,26,17,40
966,33,11,40
967,24,18,50
968,17,20,40
969,22,53,60
970,19,30,40
971,25,40,50
972,10,18,50
973,25,42,50
974,13,18,40
975,12,16,40
976,34,15,60
977,17,14,40
978,22,18,40
979,16,24,40
980,14,21,40
981,11,55,60
982,12,23,40
983,28,23,40
984,28,20,40
985,6,25,40
986,14,15,40
987,34,14,50
988,21,27,50
989,17,37,50
990,8,25,40
991,33,21,50
992,21,40,40
993,5,33,40
994,20,17,50
995,15,9,50
996,24,7,60
997,7,60,60
998,16,25,40
999,34,10,40
1000,26,24,60
1001,26,15,60
1002,35,9,50
1003,19,16,50
1004,18,17,60
1005,34,17,60
1006,16,24,40
1007,12,9,60
1008,30,20,60
1009,35,5,40
1010,34,14,40
1011,35,7,60
1012,13,19,50
1013,15,14,50
1014,12,13,40
1015,21,16,60
1016,12,10,40
1017,34,19,60
1018,20,31,50
1019,25,23,50
1020,28,20,40
1021,21,14,40
1022,18,23,50
1023,16,47,50
1024,20,16,60
1025,31,18,40
1026,24,13,60
1027,11,24,60
1028,6,30,60
1029,22,15,60
1030,8,24,40
1031,15,23,50
1032,7,29,50
1033,24,7,50
1034,24,19,50
1035,27,19,60
1036,12,10,40
1037,8,40,60
1038,16,17,50
1039,7,35,50
1040,24,46,50
1041,32,20,40
1042,13,29,40
1043,27,9,40
1044,14,25,50
1045,15,33,40
1046,24,39,40
1047,11,16,50
1048,25,11,50
1049,16,5,40
1050,23,13,60
1051,30,10,50
1052,14,7,40
1053,17,20,50
1054,32,19,50
1055,26,11,50
1056,18,10,60
1057,12,18,40
1058,34,14,50
1059,11,26,40
1060,25,20,50
1061,32,10,60
1062,23,16,60
1063,23,39,60
1064,22,40,40
1065,16,7,60
1066,31,23,60
1067,9,35,60
1068,33,15,60
1069,9,29,40
1070,25,15,40
1071,35,18,40
1072,21,15,50
1073,14,25,50
1074,30,23,50
1075,6,21,40
1076,16,18,60
1077,27,10,60
1078,22,11,60
1079,11,27,50
1080,23,15,60
1081,21,5,50
1082,14,47,50
1083,32,20,40
1084,19,41,60
1085,21,16,50
1086,23,21,60
1087,13,10,50
1088,23,16,50
1089,27,24,40
1090,27,18,40
1091,14,42,50
1092,19,24,60
1093,12,8,40
1094,25,15,40
1095,18,21,60
1096,24,49,50
1097,25,29,40
1098,28,6,60
1099,19,18,60
1100,17,19,40
1101,22,8,60
1102,20,18,40
1103,19,41,50
1104,32,17,60
1105,16,40,40
1106,21,24,40
1107,31,13,50
1108,35,18,50
1109,12,15,60
1110,11,5,50
1111,14,16,40
1112,24,35,60
1113,15,23,50
1114,12,50,50
1115,16,24,50
1116,22,6,60
1117,23,9,60
1118,17,26,60
1119,15,48,50
1120,18,22,40
1121,32,9,40
1122,8,55,60
1123,35,17,60
1124,13,50,60
1125,20,11,40
1126,7,15,40
1127,10,25,50
1128,9,16,60
1129,22,20,60
1130,22,5,60
1131,33,9,60
1132,25,37,50
1133,12,35,40
1134,19,11,40
1135,12,39,60
1136,31,6,50
1137,12,9,50
1138,5,55,60
1139,13,8,60
1140,29,8,50
1141,14,14,40
1142,10,20,50
1143,25,16,40
1144,17,18,40
1145,35,5,50
1146,12,20,50
1147,7,28,60
1148,23,17,60
1149,30,19,50
1150,15,14,40
1151,15,23,40
1152,24,17,60
1153,15,26,40
1154,24,49,50
1155,10,31,40
1156,18,8,60
1157,29,5,40
1158,10,21,60
1159,34,9,60
1160,21,8,40
1161,10,15,40
1162,17,7,40
1163,9,32,60
1164,25,11,50
1165,16,37,40
1166,25,33,60
1167,20,42,50
1168,22,11,60
1169,15,11,50
1170,32,13,60
1171,13,23,50
1172,14,25,60
1173,33,20,40
1174,24,18,50
1175,13,35,60
1176,13,24,60
1177,18,27,50
1178,21,16,60
1179,7,43,60
1180,6,31,40
1181,28,18,50
1182,24,48,50
1183,17,16,50
1184,15,15,40
1185,10,37,50
1186,12,11,40
1187,21,16,60
1188,34,15,40
1189,10,15,40
1190,5,60,60
1191,11,44,50
1192,35,15,60
1193,27,7,40
1194,14,28,50
1195,16,8,60
1196,18,24,60
1197,12,23,60
1198,23,18,60
1199,15,27,50
1200,11,20,40
1201,6,32,50
1202,13,8,50
1203,15,24,50
1204,28,17,50
1205,23,15,40
1206,10,25,50
1207,10,19,60
1208,14,17,50
1209,27,21,40
1210,15,35,40
1211,12,20,40
1212,35,18,40
1213,19,13,60
1214,16,40,50
1215,22,39,40
1216,25,24,50
1217,22,14,40
1218,19,46,60
1219,8,38,60
1220,13,5,60
1221,6,15,40
1222,13,15,40
1223,33,18,60
1224,15,7,40
1225,16,32,40
1226,32,6,40
1227,6,22,50
1228,19,7,40
1229,15,39,50
1230,32,10,50
1231,28,19,40
1232,14,15,40
1233,34,23,40
1234,30,19,50
1235,13,21,60
1236,17,23,60
1237,31,20,50
1238,15,45,50
1239,12,13,40
1240,7,37,50
1241,12,57,60
1242,11,59,60
1243,7,30,40
1244,16,5,40
1245,16,19,60
1246,16,20,50
1247,20,11,40
1248,34,21,60
1249,20,14,60
1250,19,56,60
1251,26,8,40
1252,17,16,40
1253,24,24,50
1254,16,17,60
1255,12,13,40
1256,10,34,50
1257,25,21,60
1258,24,8,40
1259,13,12,60
1260,24,10,40
1261,5,45,50
1262,21,43,60
1263,18,8,50
1264,12,16,60
1265,16,9,50
1266,21,42,50
1267,15,18,60
1268,18,16,50
1269,6,35,40
1270,33,18,50
1271,19,11,40
1272,10,32,50
1273,29,20,60
1274,23,8,60
1275,6,56,60
1276,8,22,40
1277,11,6,40
1278,18,12,60
1279,27,8,40
1280,17,24,50
1281,32,17,60
1282,22,8,50
1283,33,13,40
1284,16,10,50
1285,16,35,40
1286,32,24,50
1287,33,5,50
1288,15,21,40
1289,29,20,60
1290,14,59,60
1291,15,15,40
1292,7,25,60
1293,20,19,40
1294,10,20,40
1295,20,5,50
1296,18,7,40
1297,31,5,40
1298,16,45,60
1299,10,20,60
1300,25,8,40
1301,10,23,40
1302,14,29,60
1303,26,10,60
1304,8,18,40
1305,35,15,50
1306,20,37,50
1307,18,20,60
1308,21,19,50
1309,16,24,40
1310,20,21,60
1311,29,20,60
1312,13,36,40
1313,33,25,60
1314,9,28,40
1315,9,26,40
1316,5,30,50
1317,33,18,60
1318,16,7,50
1319,22,25,40
1320,18,25,40
1321,22,43,60
1322,15,13,60
1323,16,36,60
1324,28,18,50
1325,14,27,50
1326,23,31,40
1327,20,24,60
1328,23,19,40
1329,16,33,60
1330,10,20,40
1331,9,44,60
1332,14,21,60
1333,29,22,50
1334,10,34,60
1335,14,19,50
1336,5,44,50
1337,11,24,40
1338,8,18,60
1339,19,5,50
1340,21,5,50
1341,13,19,40
1342,19,21,50
1343,34,22,60
1344,12,13,40
1345,33,11,40
1346,28,7,50
1347,17,6,50
1348,16,30,50
1349,25,39,60
1350,22,8,50
1351,14,34,50
1352,28,18,40
1353,15,52,60
1354,31,11,40
1355,9,41,50
1356,16,14,60
1357,12,14,50
1358,25,44,60
1359,10,39,60
1360,13,9,50
1361,19,59,60
1362,21,37,50
1363,16,42,50
1364,23,18,50
1365,10,22,50
1366,34,18,40
1367,34,9,40
1368,19,12,60
1369,26,16,60
1370,29,22,40
1371,14,18,60
1372,9,40,50
1373,10,19,60
1374,24,6,60
1375,6,23,40
1376,8,36,60
1377,13,14,60
1378,25,15,60
1379,8,38,40
1380,31,21,60
1381,32,6,60
1382,16,21,60
1383,27,20,40
1384,12,36,40
1385,14,14,60
1386,19,5,60
1387,29,11,50
1388,7,15,40
1389,29,8,40
1390,8,30,60
1391,8,30,40
1392,26,19,40
1393,11,8,50
1394,22,20,50
1395,17,22,40
1396,29,19,50
1397,29,8,60
1398,14,25,50
1399,10,19,40
1400,31,12,60
1401,26,22,40
1402,20,30,40
1403,19,8,50
1404,25,16,60
1405,13,40,60
1406,32,8,50
1407,23,18,50
1408,5,24,40
1409,8,39,50
1410,28,14,40
1411,30,25,40
1412,29,19,60
1413,21,9,40
1414,33,19,50
1415,10,10,50
1416,21,47,50
1417,16,37,40
1418,22,21,60
1419,15,25,40
1420,21,25,40
1421,28,15,60
1422,32,9,50
1423,35,14,50
1424,12,25,50
1425,22,20,50
1426,31,10,60
1427,32,21,60
1428,21,31,60
1429,32,15,40
1430,28,16,60
1431,24,40,60
1432,11,5,40
1433,15,12,60
1434,8,30,40
1435,25,15,60
1436,12,18,40
1437,17,39,40
1438,12,6,50
1439,18,8,60
1440,33,7,40
1441,34,16,50
1442,30,5,60
1443,15,18,40
1444,19,39,60
1445,30,23,40
1446,11,27,60
1447,25,19,50
1448,19,12,60
1449,33,10,40
1450,21,27,50
1451,28,5,40
1452,31,8,60
1453,6,40,40
1454,10,16,40
1455,28,22,50
1456,20,10,40
1457,25,48,60
1458,11,28,50
1459,25,21,60
1460,16,50,50
1461,7,29,40
1462,25,39,50
1463,23,17,40
1464,21,24,40
1465,8,30,40
1466,11,24,40
1467,20,5,60
1468,19,13,40
1469,32,16,50
1470,15,14,40
1471,27,23,40
1472,26,24,40
1473,19,17,60
1474,11,22,60
1475,13,23,60
1476,18,25,50
1477,11,15,40
1478,13,27,50
1479,6,23,50
1480,22,38,40
1481,6,30,50
1482,7,17,50
1483,12,18,50
1484,33,24,60
1485,27,20,40
1486,13,38,40
1487,13,6,40
1488,26,12,50
1489,16,42,60
1490,19,12,50
1491,11,5,40
1492,27,24,40
1493,5,50,50
1494,11,17,50
1495,32,9,50
1496,32,18,50
1497,14,8,60
1498,13,24,50
1499,21,11,50
1500,18,18,50
1501,17,7,40
1502,5,29,60
1503,33,22,50
1504,11,5,60
1505,12,18,60
1506,11,9,40
1507,15,14,50
1508,15,26,40
1509,30,12,60
1510,9,40,50
1511,31,8,50
1512,7,19,60
1513,27,11,50
1514,32,16,50
1515,24,14,40
1516,22,33,50
1517,17,21,60
1518,20,22,50
1519,8,18,60
1520,23,24,50
1521,13,20,50
1522,14,21,40
1523,19,22,40
1524,13,16,40
1525,35,9,60
1526,17,19,40
1527,19,22,60
1528,25,6,40
1529,18,23,50
1530,19,7,50
1531,18,24,40
1532,20,16,50
1533,22,19,50
1534,12,21,40
1535,10,42,50
1536,11,14,60
1537,22,39,40
1538,5,36,50
1539,35,23,50
1540,5,25,40
1541,24,42,60
1542,6,21,50
1543,17,58,60
1544,27,19,50
1545,28,23,50
1546,18,10,60
1547,24,12,50
1548,5,23,40
1549,13,20,60
1550,22,24,40
1551,28,17,50
1552,29,13,40
1553,18,13,50
1554,24,15,60
1555,14,33,40
1556,20,13,60
1557,19,29,40
1558,24,5,40
1559,11,16,50
1560,30,22,50
1561,23,6,40
1562,12,13,60
1563,27,15,60
1564,24,10,40
1565,13,31,50
1566,14,12,50
1567,15,9,60
1568,25,18,60
1569,13,25,40
1570,10,36,40
1571,24,23,60
1572,11,22,50
1573,12,18,60
1574,13,31,60
1575,31,16,40
1576,32,6,60
1577,17,16,60
1578,7,31,40
1579,13,21,50
1580,17,11,40
1581,23,38,50
1582,18,19,60
1583,18,33,60
1584,5,25,40
1585,35,16,60
1586,18,38,50
1587,19,24,50
1588,15,16,40
1589,14,19,40
1590,10,8,60
1591,11,35,60
1592,32,21,60
1593,16,28,60
1594,28,6,50
1595,33,9,60
1596,34,25,50
1597,12,12,40
1598,26,23,60
1599,22,41,60
1600,33,8,60
1601,35,6,60
1602,25,21,60
1603,19,35,60
1604,11,33,50
1605,20,12,40
1606,17,19,50
1607,8,30,50
1608,33,18,50
1609,12,16,50
1610,26,7,60
1611,30,20,50
1612,12,43,60
1613,12,23,50
1614,12,41,60
1615,28,9,60
1616,18,14,60
1617,15,22,50
1618,23,18,40
1619,14,23,60
1620,25,27,50
1621,19,15,40
1622,13,18,40
1623,22,45,50
1624,13,9,60
1625,23,5,40
1626,15,7,60
1627,26,21,40
1628,23,16,50
1629,22,22,40
1630,32,14,40
1631,20,15,40
1632,24,54,60
1633,6,17,40
1634,21,19,60
1635,30,19,50
1636,18,33,60
1637,9,26,50
1638,34,23,60
1639,7,24,60
1640,28,23,40
1641,31,25,50
1642,22,15,50
1643,10,47,50
1644,23,32,60
1645,12,24,40
1646,15,18,50
1647,26,21,60
1648,26,18,60
1649,15,39,50
1650,10,24,50
1651,11,28,40
1652,18,23,60
1653,20,8,60
1654,19,10,50
1655,19,13,40
1656,24,12,50
1657,19,13,40
1658,8,29,60
1659,18,9,60
1660,11,32,40
1661,34,10,60
